Unnamed: 0,번호,제목,저자,출판사,출판일
,33,Big-Data and the Question of Horizontal and Vertical Intelligence: A Discussion on Disaster Management,"Benaben,  Frederick; Montarnal,  Aurelie; Fertier,  Audrey; Truptil,  Sebastien",Springer.,2016
,34,Big-Data Streaming Applications Scheduling with Online Learning and Concept Drift Detection,"Kanoun, Karim; van der Schaar, Mihaela",IEEE Computer Society,2015
,35,Big-Data Challenge Advances highlight big issues,unknown,BEIJING REVIEW,2014
,36,Big-Data-Anwendungsfälle methodisch erarbeiten,"Franz, T.",Springer Science + Business Media,2015
,37,Big-Data Approach for Three-Dimensional Building Extraction from Aerial Laser Scanning,"Aljumaily,  Harith; Laefer,  Debra F.; Cuadra,  Dolores",ASCE AMERICAN SOCIETY OF CIVIL ENGINEERS,2016
,38,Big-Data Applications in the Government Sector,"Kim, G.-H.; Trimi, S.; Chung, J.-H.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2014
,39,Data Transfer Scheduling for Maximizing Throughput of Big-Data Computing in Cloud Systems,"Xie, R.; Jia, X.",IEEE,2018
,40,Big-Data Tensor Recovery for High-Dimensional Uncertainty Quantification of Process Variations,"Zhang, Z.; Weng, T.; Daniel, L.",IEEE,2017
,41,"Big-Data Analytics Drives Parking Policy: Evaluating Adherence to Meter Time Limits in Washington, D.C","Liang,  Xiaomeng; Pérez,  Benito O.; Dey,  Soumya S.; Haney,  Heather; Kim,  Jasmin Y.","Washington, DC; National Academy Press; 1998",2016
,42,Data Science: A New Paradigm in the Age of Big-Data Science and Analytics,C. E. Concolato; L. M. Chen,World Scientific Publishing Co. Pte Ltd,2017
,43,Big-Data Science in Porous Materials: Materials Genomics and Machine Learning,"Jablonka, Kevin Maik",ACS AMERICAN CHEMICAL SOCIETY,2020
,44,Big-data analytics framework for incorporating smallholders in sustainable palm oil production,"Shukla, Manish; Tiwari, Manoj Kumar",Taylor & Francis,2017
,45,Big-Data Project on 1918 Flu Reflects Key Role of Humanists,Jennifer Howard,"Chronicle of higher education, etc",2015
,46,Big-Data Cloud Services Platform for Growth Enterprises with Adaptive Exception Handling and Parallelized Data Mining,"Wen, Yazhi; Bo, Hu; Wen, Bin",Springer,2017
,47,Big-data Feature Screening Using Bregman Divergence,"Cheng, J.; Cheng, Q.; Zargham, M.",United States; CSREA,2011
,48,Big-Data Approaches for Bioinformatics Workflows: A Comparative Assessment,"Nunes,  Rickey T. P.; Deshpande,  Santosh L.",Springer,2016
,49,Big-Data Method to Advance Public Health Informatics: Smarter Public Health Prevention System (SPHPS),"Jalali,  Arash; Rahden,  Douglas; Heintz,  Joerg; Filla,  Greg; DiNovi,  Jason; Mensah,  Edward",American Medical Informatics Association,2016
,50,Big-data analytics: a critical review and some future directions,"JovanoviÄ, UroÅ¡; Å timec, AleÅ¡; VladuÅ¡iÄ, Daniel; Papa, Gregor; Å ilc, Jurij",Inderscience,2015
,51,Big-Data Based Online State of Charge Estimation and Energy Consumption Prediction for Electric Vehicles,"Zhang,  Zhiyun; Huang,  Miaohua; Chen,  Yupu; Gao,  Dong",Society of Automotive Engineers,2016
,52,Big-Data Based Real-Time Interactive Growth Management System in Wireless Communications,"Kim, Jonghun; Jang, Heetae; Kim, Jong Tak; Pan, Hee-Jun; Park, Roy C.",Springer Nature,2018
,53,Applying big-data technologies to network architecture,unknown,L M ERICSSON,2012
,54,Evaluating Big-Neuroimaging-Data Informed Vulnerability Indices for Neuropsychiatric Disorder,"Kochunov, Peter","Elsevier Science B.V., Amsterdam.",2022
,55,A big-data oriented recommendation method based on multi-objective optimization,"Xu, Chonghuan","Elsevier Science B.V., Amsterdam.",2019
,56,"The Big-Data-Driven Intelligent Wireless Network: Architecture, Use Cases, Solutions, and Future Trends","I, C.; Sun, Q.; Liu, Z.; Zhang, S.; Han, S.","Institute of Electrical and Electronics Engineers, Inc.",2017
,57,A big-data model for multi-modal public transportation with application to macroscopic control and optimisation,"Faizrahnemoon, Mahsa; Schlote, Arieh; Maggi, Lorenzo; Crisostomi, Emanuele; Shorten, Robert",Taylor & Francis,2015
,58,"Real-world big-data studies in laboratory medicine: Current status, application, and future considerations","Ma, Chaochao; Wang, Xinlu; Wu, Jie; Cheng, Xinqi; Xia, Liangyu; Xue, Fang; Qiu, Ling","Elsevier Science B.V., Amsterdam.",2020
,59,A big-data driven approach to analyzing and modeling human mobility trend under non-pharmaceutical interventions during COVID-19 pandemic,"Hu, Songhua; Xiong, Chenfeng; Yang, Mofeng; Younes, Hannah; Luo, Weiyu; Zhang, Lei","Elsevier Science B.V., Amsterdam",2021
,60,Selbstlernende Big-Data-Analysen für intelligentes Energiemanagement,"Hilt, B.",Springer Science + Business Media,2015
,61,Dynamic Big-Data Broadcast in Fat-Tree Data Center Networks With Mobile IoT Devices,unknown,THE INSTITUTE OF ELECTRICAL AND ELECTRONICS AND ELECTRONICS ENGINEERS,2019
,62,"A Big-Data Approach to Understanding the Thematic Landscape of the Field of Business Ethics, 1982–2016","Liu, Ying; Mai, Feng; MacDonald, Chris",Springer Nature,2019
,63,Streetlytics: Big-Data for Real Estate Market Analysis,"Thrall,  Grant",unknown,2015
,64,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017
,65,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017
,66,Real‐world Big‐data: Strengths and weaknesses of ASCO's CancerLinQ® discovery multiple myeloma dataset,"DeStefano, Christin B.","John Wiley & Sons, Ltd",2023
,67,A big–data security mechanism based on fully homomorphic encryption using cubic spline curve public key cryptography,"Krishna, Addepalli V. N.",Taylor and Francis,2018
,68,Distributed Big-Data Optimization via Blockwise Gradient Tracking,"Notarnicola, Ivano; Sun, Ying; Scutari, Gesualdo; Notarstefano, Giuseppe",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,69,Mobile big-data-driven rating framework: measuring the relationship between human mobility and app usage behavior,"Qiao, Y.; Zhao, X.; Yang, J.; Liu, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,70,"The big-data jobs outlook is encouraging. | GM plans to hire 3,000 HP employees",unknown,CW COMMUNICATIONS INC.,2012
,71,Persisting big-data: The NoSQL landscape,"Corbellini, Alejandro; Mateos, Cristian; Zunino, Alejandro; Godoy, Daniela; Schiaffino, Silvia","Elsevier Science B.V., Amsterdam.",2017
,72,A Big-Data-Analytics Framework for Supporting Classification of ADHD and Healthy Children via Principal Component Analysis of EEG Sleep Spindles Power Spectra,"Dea, Federica De","Elsevier Science B.V., Amsterdam",2019
,73,"A big-data analysis of political rhetoric relating the developments of the United States, China, and global powers","Carter, Patrick; Wang, Jeffrie; Chau, Davis",Emerald Publishing,2020
,74,A Big-Data-Analytics Framework for Supporting Logistics Problems in Smart-City Environments,"Cuzzocrea, Alfredo","Elsevier Science B.V., Amsterdam",2019
,75,A Big-Data-based platform of workers’ behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016
,76,Sears' Big-Data Strategy? Just a Service Call Away,"Wahba, Phil",Time Inc.,2015
,77,Industrial big-data-driven and CPS-based adaptive production scheduling for smart manufacturing,"Qiao, Fei; Liu, Juan; Ma, Yumin",Taylor & Francis,2021
,78,BIFM: Big-Data Driven Intelligent Forecasting Model for COVID-19,"Dash, Sujata; Chakraborty, Chinmay; Giri, Sourav Kumar; Pani, Subhendu Kumar; Frnda, Jaroslav",IEEE,2021
,79,Clinical big-data-based design of GLUT2-targeted carbon nanodots for accurate diagnosis of hepatocellular carcinomaElectronic supplementary information (ESI) available. See DOI: https://doi.org/10.1039/d2nr04238j,"Heo, Hye Jin",Royal Society of Chemistry,2022
,80,A big-data analytics method for capturing visitor activities and flows: the case of an island country,"Miah, Shah Jahan; Vu, HuyQuan; Gammack, John",Springer Nature,2019
,81,"A Big-Data Perspective on AI: Newton, Merton, and Analytics Intelligence","Wang, F. Y.",COMPUTER SOCIETY,2012
,82,"Recent Big-Data Struggles Are 'Birthing Pains,' Researchers Say.","PARRY, MARC.","Chronicle of higher education, etc",2014
,83,Becoming data-savvy in a big-data world,"Xu, Meng; Rhee, Seung Yon","Elsevier Science B.V., Amsterdam.",2014
,84,Ecology Big-data approaches lead to an increased understanding of the ecology of animal movement,"Nathan, R.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2022
,85,A big-data-driven matching model based on deep reinforcement learning for cotton blending,"Xia, Huosong",Taylor & Francis,2023
,86,"As Big-Data Companies Enter the Classroom, a Pioneer Issues a Warning","BLUMENSTYK, GOLDIE","Chronicle of higher education, etc ",2016
,87,A big-data analysis of human-nature relations in newspaper coverage,"Jaung, Wanggi; Carrasco, L. Roman","Elsevier Science B.V., Amsterdam.",2022
,88,A Big-Data Approach to Contemporary French Politics,"Sobanet, Andrew; Singh, Lisa",Taylor & Francis,2020
,89,A Big-Data-based platform of workers' behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016
,90,Social Big-Data-Based Content Dissemination in Internet of Vehicles,"Zhou, Z.; Gao, C.; Xu, C.; Zhang, Y.; Mumtaz, S.; Rodriguez, J.",IEEE,2018
,91,A Big-Data Analysis of Disaster Information Dissemination in South Korea,"Hwang, Yongsuk; Jeong, Jaekwan; Jin, Eun-Hyeong; Yu, Hee Ra; Jung, Dawoon",Springer,2018
,92,"A big-data spatial, temporal and network analysis of bovine tuberculosis between wildlife (badgers) and cattle","Moustakas, A.; Evans, M. R.",Springer Science + Business Media,2017
,93,A big-data method to predict the targets of small molecules and accelerate drug discovery,"Madhukar, N.; Khade, P.; Huang, L.; Gayvert, K.; Paraskevi, G.; Elemento, O.","Elsevier Science B.V., Amsterdam.",2016
,94,A Cloud Big-Data-Driven Dynamics Control Approach for Unmanned Ground Vehicles for Safety Improving,"Jiang, Xu; Ni, Jun; Wu, Jiafeng; Yang, Xu",IEEE Institute of Electrical & Electronics,2022
,95,Distributed Partitioned Big-Data Optimization via Asynchronous Dual Decomposition,unknown,IEEE,2018
,96,"A secured big-data sharing platform for materials genome engineering: State-of-the-art, challenges and architecture","Wang, Ran","Elsevier Science B.V., Amsterdam.",2023
,97,Traditional vs. big-data fashion trend forecasting: an examination using WGSN and EDITED,Mikayla DuBreuil; Sheng Lu,TAYLOR & FRANCIS GROUP,2020
,98,A Tensor-Based Big-Data-Driven Routing Recommendation Approach for Heterogeneous Networks,"Wang, Xiaokang; Yang, Laurence T.; Kuang, Liwei; Liu, Xingang; Zhang, Qingxia; Deen, M. Jamal",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,99,A hybrid big-data-based and tolerance-based method to estimate environmental benefits of electric bike sharing,"Liu, Yixiao","Elsevier Science B.V., Amsterdam.",2022
,100,A Comprehensive Big-Data-Based Monitoring System for Yield Enhancement in Semiconductor Manufacturing,"Nakata, K.; Orihara, R.; Mizuoka, Y.; Takagi, K.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,1,32.5 ARE YOU READY FOR BIG DATA? GOVERNANCE IN BIG-DATA RESEARCH,"Scheepers, F. E.; Deschamps, P.",Elsevier,2016
,2,Hazy: Making It Easier to Build and Maintain Big-Data Analytics Racing to unleash the full potential of big data with the latest statistical and machine-learning techniques,"Kumar, A.; Niu, F.; Re, C.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2013
,3,"Big-data-based network engineering recruitment data collection, warehousing, and analysis program","Gao, Xinkai",SPIE,2023
,4,Big-data-driven pre-stack seismic intelligent inversion,"Yan, Xuesong","Elsevier Science B.V., Amsterdam.",2021
,5,Big-Data Based Analysis for Communication Effect of Science-Technology Public Accounts on Social Media,"Ren, Jinluan;Cao, Wen;Li, Bo;Liu, Lihua;Cai, LinXing, Ruben",IGI Publishing,2019
,6,Big-Data-Based Power Battery Recycling for New Energy Vehicles: Information Sharing Platform and Intelligent Transportation Optimization,"Yu, Haijun; Dai, Hongliang; Tian, Guangdong; Xie, Yinghao; Wu, Benben; Zhu, Ying; Li, Hongliang; Wu, Han",IEEE,2020
,7,Big-Data Visualization,"Keim, D.; Qu, H.; Ma, K. L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,8,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018
,9,Big-data x-ray phase contrast imaging simulation challenges [9594-17],unknown,The Society,2015
,10,Big-data-based edge biomarkers: study on dynamical drug sensitivity and resistance in individuals,"Zeng, T.; Zhang, W.; Yu, X.; Liu, X.; Li, M.; Chen, L.",Oxford University Press,2016
,11,Big-Sensing-Data Curation for the Cloud is Coming: A Promise of Scalable Cloud-Data-Center Mitigation for Next-Generation IoT and Wireless Sensor Networks,"Yang, C.; Puthal, D.; Mohanty, S.; Kougianos, E.",IEEE,2017
,12,Big-Data-Driven Stem Cell Science and Tissue Engineering: Vision and Unique Opportunities,"Del Sol, Antonio; Thiesen, Hans J.; Imitola, Jaime; Carazo Salas, Rafael E.",ELSEVIER SCIENCE B.V; AMSTERDAM,2017
,13,Big-data driven assessment of railway track and maintenance efficiency using Artificial Neural Networks,"Popov, K.","Elsevier Science B.V., Amsterdam.",2022
,14,Big-data clustering with interval type-2 fuzzy uncertainty modeling in gene expression datasets,"Shukla, Amit K.; Muhuri, Pranab K.","Elsevier Science B.V., Amsterdam.",2019
,15,Big-Data Mechanisms and Energy-Policy Design,"Pat,  Ankit; Larson,  Kate; Keshav,  Srinivasen",American Association for Artificial Intelligence,2016
,16,Big-Data-Technologien in der Fahrzeugentwicklung,"Abthoff, T.",Springer Science + Business Media,2016
,17,Big-data for building energy performance: Lessons from assembling a very large national database of building energy use,Paul A. Mathew; Laurel N. Dunn,ELSEVIER,2015
,18,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018
,19,"Big-Data - Theoretical, Engineering and Analytics Perspective","Agneeswaran, V.S.",SPRINGER-VERLAG,2012
,20,BIG-DATA APPROACHES TO PROTEIN STRUCTURE PREDICTION Metagenomics sequence data give protein structure prediction a boost,"Söding,  J.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2017
,21,Big-data analysis for carbon emission reduction from cars: Towards walkable green smart community,"Yamagata, Yoshiki; Murakami, Daisuke; Wu, Yihan; Yang, Perry Pei-Ju; Yoshida, Takahiro; Binder, Robert","Elsevier Science B.V., Amsterdam",2019
,22,Big-data and machine learning to revamp computational toxicology and its use in risk assessment,"Luechtefeld, T.; Rowlands, C.; Hartung, T.",Royal Society of Chemistry,2018
,23,Big-data analysis of phase-formation rules in high-entropy alloys,"Zhao, Wan-li; Miao, Ding-hao; Zhang, Yong; He, Zhan-bing","ELSEVIER SCIENCE B.V., AMSTERDAM",2017
,24,Big-data business models: A critical literature review and multiperspective research framework,"Wiener, Martin; Saunders, Carol; Marabelli, Marco",Palgrave Macmillan,2020
,25,Big-Data-Based Intelligent Spectrum Sensing for Heterogeneous Spectrum Communications in 5G,"Liu, Xin; Sun, Qingquan; Lu, Weidang; Wu, Celimuge; Ding, Hua",IEEE,2020
,26,Big-data-driven safety decision-making: A conceptual framework and its influencing factors,"Huang, Lang; Wu, Chao; Wang, Bing; Ouyang, Qiumei","Elsevier Science B.V., Amsterdam.",2018
,27,BIG DATA/BIG COMPUTE TECHNOLOGIES AND THE REALM OF POSSIBILITIES: The Emergence of Real-Time Risk Enterprises in the Capital Markets Industry,MAYIZ HABBAL,Institutional Investor,2014
,28,"Big-Data Analysis, Cluster Analysis, and Machine-Learning Approaches","Alonso-Betanzos, Amparo; Bolón-Canedo, Verónica",Kluwer Academic Publishers,2018
,29,Big-data-driven Model Construction and Empirical Analysis of SMEs Credit Assessment in China,"Yadi, LIU","Elsevier Science B.V., Amsterdam",2019
,30,Big-Data for Satellite Yearly Reports Generation (AIAA 2018-2368),"Hennion, Nicolas",AIAA,2018
,31,Big-Data Reflection High Energy Electron Diffraction Analysis for Understanding Epitaxial Film Growth Processes,"Vasudevan, R.K.; Tselev, A.; Baddorf, A.P.; Kalinin, S.V.",AMERICAN CHEMICAL SOCIETY,2014
,32,Big-Data-Geschäftsmodelle — die drei Seiten der Medaille,"Hecker, D.",Springer Science + Business Media,2016
,33,Big-Data and the Question of Horizontal and Vertical Intelligence: A Discussion on Disaster Management,"Benaben,  Frederick; Montarnal,  Aurelie; Fertier,  Audrey; Truptil,  Sebastien",Springer.,2016
,34,Big-Data Streaming Applications Scheduling with Online Learning and Concept Drift Detection,"Kanoun, Karim; van der Schaar, Mihaela",IEEE Computer Society,2015
,35,Big-Data Challenge Advances highlight big issues,unknown,BEIJING REVIEW,2014
,36,Big-Data-Anwendungsfälle methodisch erarbeiten,"Franz, T.",Springer Science + Business Media,2015
,37,Big-Data Approach for Three-Dimensional Building Extraction from Aerial Laser Scanning,"Aljumaily,  Harith; Laefer,  Debra F.; Cuadra,  Dolores",ASCE AMERICAN SOCIETY OF CIVIL ENGINEERS,2016
,38,Big-Data Applications in the Government Sector,"Kim, G.-H.; Trimi, S.; Chung, J.-H.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2014
,39,Data Transfer Scheduling for Maximizing Throughput of Big-Data Computing in Cloud Systems,"Xie, R.; Jia, X.",IEEE,2018
,40,Big-Data Tensor Recovery for High-Dimensional Uncertainty Quantification of Process Variations,"Zhang, Z.; Weng, T.; Daniel, L.",IEEE,2017
,41,"Big-Data Analytics Drives Parking Policy: Evaluating Adherence to Meter Time Limits in Washington, D.C","Liang,  Xiaomeng; Pérez,  Benito O.; Dey,  Soumya S.; Haney,  Heather; Kim,  Jasmin Y.","Washington, DC; National Academy Press; 1998",2016
,42,Data Science: A New Paradigm in the Age of Big-Data Science and Analytics,C. E. Concolato; L. M. Chen,World Scientific Publishing Co. Pte Ltd,2017
,43,Big-Data Science in Porous Materials: Materials Genomics and Machine Learning,"Jablonka, Kevin Maik",ACS AMERICAN CHEMICAL SOCIETY,2020
,44,Big-data analytics framework for incorporating smallholders in sustainable palm oil production,"Shukla, Manish; Tiwari, Manoj Kumar",Taylor & Francis,2017
,45,Big-Data Project on 1918 Flu Reflects Key Role of Humanists,Jennifer Howard,"Chronicle of higher education, etc",2015
,46,Big-Data Cloud Services Platform for Growth Enterprises with Adaptive Exception Handling and Parallelized Data Mining,"Wen, Yazhi; Bo, Hu; Wen, Bin",Springer,2017
,47,Big-data Feature Screening Using Bregman Divergence,"Cheng, J.; Cheng, Q.; Zargham, M.",United States; CSREA,2011
,48,Big-Data Approaches for Bioinformatics Workflows: A Comparative Assessment,"Nunes,  Rickey T. P.; Deshpande,  Santosh L.",Springer,2016
,49,Big-Data Method to Advance Public Health Informatics: Smarter Public Health Prevention System (SPHPS),"Jalali,  Arash; Rahden,  Douglas; Heintz,  Joerg; Filla,  Greg; DiNovi,  Jason; Mensah,  Edward",American Medical Informatics Association,2016
,50,Big-data analytics: a critical review and some future directions,"JovanoviÄ, UroÅ¡; Å timec, AleÅ¡; VladuÅ¡iÄ, Daniel; Papa, Gregor; Å ilc, Jurij",Inderscience,2015
,51,Big-Data Based Online State of Charge Estimation and Energy Consumption Prediction for Electric Vehicles,"Zhang,  Zhiyun; Huang,  Miaohua; Chen,  Yupu; Gao,  Dong",Society of Automotive Engineers,2016
,52,Big-Data Based Real-Time Interactive Growth Management System in Wireless Communications,"Kim, Jonghun; Jang, Heetae; Kim, Jong Tak; Pan, Hee-Jun; Park, Roy C.",Springer Nature,2018
,53,Applying big-data technologies to network architecture,unknown,L M ERICSSON,2012
,54,Evaluating Big-Neuroimaging-Data Informed Vulnerability Indices for Neuropsychiatric Disorder,"Kochunov, Peter","Elsevier Science B.V., Amsterdam.",2022
,55,A big-data oriented recommendation method based on multi-objective optimization,"Xu, Chonghuan","Elsevier Science B.V., Amsterdam.",2019
,56,"The Big-Data-Driven Intelligent Wireless Network: Architecture, Use Cases, Solutions, and Future Trends","I, C.; Sun, Q.; Liu, Z.; Zhang, S.; Han, S.","Institute of Electrical and Electronics Engineers, Inc.",2017
,57,A big-data model for multi-modal public transportation with application to macroscopic control and optimisation,"Faizrahnemoon, Mahsa; Schlote, Arieh; Maggi, Lorenzo; Crisostomi, Emanuele; Shorten, Robert",Taylor & Francis,2015
,58,"Real-world big-data studies in laboratory medicine: Current status, application, and future considerations","Ma, Chaochao; Wang, Xinlu; Wu, Jie; Cheng, Xinqi; Xia, Liangyu; Xue, Fang; Qiu, Ling","Elsevier Science B.V., Amsterdam.",2020
,59,A big-data driven approach to analyzing and modeling human mobility trend under non-pharmaceutical interventions during COVID-19 pandemic,"Hu, Songhua; Xiong, Chenfeng; Yang, Mofeng; Younes, Hannah; Luo, Weiyu; Zhang, Lei","Elsevier Science B.V., Amsterdam",2021
,60,Selbstlernende Big-Data-Analysen für intelligentes Energiemanagement,"Hilt, B.",Springer Science + Business Media,2015
,61,Dynamic Big-Data Broadcast in Fat-Tree Data Center Networks With Mobile IoT Devices,unknown,THE INSTITUTE OF ELECTRICAL AND ELECTRONICS AND ELECTRONICS ENGINEERS,2019
,62,"A Big-Data Approach to Understanding the Thematic Landscape of the Field of Business Ethics, 1982–2016","Liu, Ying; Mai, Feng; MacDonald, Chris",Springer Nature,2019
,63,Streetlytics: Big-Data for Real Estate Market Analysis,"Thrall,  Grant",unknown,2015
,64,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017
,65,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017
,66,Real‐world Big‐data: Strengths and weaknesses of ASCO's CancerLinQ® discovery multiple myeloma dataset,"DeStefano, Christin B.","John Wiley & Sons, Ltd",2023
,67,A big–data security mechanism based on fully homomorphic encryption using cubic spline curve public key cryptography,"Krishna, Addepalli V. N.",Taylor and Francis,2018
,68,Distributed Big-Data Optimization via Blockwise Gradient Tracking,"Notarnicola, Ivano; Sun, Ying; Scutari, Gesualdo; Notarstefano, Giuseppe",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,69,Mobile big-data-driven rating framework: measuring the relationship between human mobility and app usage behavior,"Qiao, Y.; Zhao, X.; Yang, J.; Liu, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,70,"The big-data jobs outlook is encouraging. | GM plans to hire 3,000 HP employees",unknown,CW COMMUNICATIONS INC.,2012
,71,Persisting big-data: The NoSQL landscape,"Corbellini, Alejandro; Mateos, Cristian; Zunino, Alejandro; Godoy, Daniela; Schiaffino, Silvia","Elsevier Science B.V., Amsterdam.",2017
,72,A Big-Data-Analytics Framework for Supporting Classification of ADHD and Healthy Children via Principal Component Analysis of EEG Sleep Spindles Power Spectra,"Dea, Federica De","Elsevier Science B.V., Amsterdam",2019
,73,"A big-data analysis of political rhetoric relating the developments of the United States, China, and global powers","Carter, Patrick; Wang, Jeffrie; Chau, Davis",Emerald Publishing,2020
,74,A Big-Data-Analytics Framework for Supporting Logistics Problems in Smart-City Environments,"Cuzzocrea, Alfredo","Elsevier Science B.V., Amsterdam",2019
,75,A Big-Data-based platform of workers’ behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016
,76,Sears' Big-Data Strategy? Just a Service Call Away,"Wahba, Phil",Time Inc.,2015
,77,Industrial big-data-driven and CPS-based adaptive production scheduling for smart manufacturing,"Qiao, Fei; Liu, Juan; Ma, Yumin",Taylor & Francis,2021
,78,BIFM: Big-Data Driven Intelligent Forecasting Model for COVID-19,"Dash, Sujata; Chakraborty, Chinmay; Giri, Sourav Kumar; Pani, Subhendu Kumar; Frnda, Jaroslav",IEEE,2021
,79,Clinical big-data-based design of GLUT2-targeted carbon nanodots for accurate diagnosis of hepatocellular carcinomaElectronic supplementary information (ESI) available. See DOI: https://doi.org/10.1039/d2nr04238j,"Heo, Hye Jin",Royal Society of Chemistry,2022
,80,A big-data analytics method for capturing visitor activities and flows: the case of an island country,"Miah, Shah Jahan; Vu, HuyQuan; Gammack, John",Springer Nature,2019
,81,"A Big-Data Perspective on AI: Newton, Merton, and Analytics Intelligence","Wang, F. Y.",COMPUTER SOCIETY,2012
,82,"Recent Big-Data Struggles Are 'Birthing Pains,' Researchers Say.","PARRY, MARC.","Chronicle of higher education, etc",2014
,83,Becoming data-savvy in a big-data world,"Xu, Meng; Rhee, Seung Yon","Elsevier Science B.V., Amsterdam.",2014
,84,Ecology Big-data approaches lead to an increased understanding of the ecology of animal movement,"Nathan, R.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2022
,85,A big-data-driven matching model based on deep reinforcement learning for cotton blending,"Xia, Huosong",Taylor & Francis,2023
,86,"As Big-Data Companies Enter the Classroom, a Pioneer Issues a Warning","BLUMENSTYK, GOLDIE","Chronicle of higher education, etc ",2016
,87,A big-data analysis of human-nature relations in newspaper coverage,"Jaung, Wanggi; Carrasco, L. Roman","Elsevier Science B.V., Amsterdam.",2022
,88,A Big-Data Approach to Contemporary French Politics,"Sobanet, Andrew; Singh, Lisa",Taylor & Francis,2020
,89,A Big-Data-based platform of workers' behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016
,90,Social Big-Data-Based Content Dissemination in Internet of Vehicles,"Zhou, Z.; Gao, C.; Xu, C.; Zhang, Y.; Mumtaz, S.; Rodriguez, J.",IEEE,2018
,91,A Big-Data Analysis of Disaster Information Dissemination in South Korea,"Hwang, Yongsuk; Jeong, Jaekwan; Jin, Eun-Hyeong; Yu, Hee Ra; Jung, Dawoon",Springer,2018
,92,"A big-data spatial, temporal and network analysis of bovine tuberculosis between wildlife (badgers) and cattle","Moustakas, A.; Evans, M. R.",Springer Science + Business Media,2017
,93,A big-data method to predict the targets of small molecules and accelerate drug discovery,"Madhukar, N.; Khade, P.; Huang, L.; Gayvert, K.; Paraskevi, G.; Elemento, O.","Elsevier Science B.V., Amsterdam.",2016
,94,A Cloud Big-Data-Driven Dynamics Control Approach for Unmanned Ground Vehicles for Safety Improving,"Jiang, Xu; Ni, Jun; Wu, Jiafeng; Yang, Xu",IEEE Institute of Electrical & Electronics,2022
,95,Distributed Partitioned Big-Data Optimization via Asynchronous Dual Decomposition,unknown,IEEE,2018
,96,"A secured big-data sharing platform for materials genome engineering: State-of-the-art, challenges and architecture","Wang, Ran","Elsevier Science B.V., Amsterdam.",2023
,97,Traditional vs. big-data fashion trend forecasting: an examination using WGSN and EDITED,Mikayla DuBreuil; Sheng Lu,TAYLOR & FRANCIS GROUP,2020
,98,A Tensor-Based Big-Data-Driven Routing Recommendation Approach for Heterogeneous Networks,"Wang, Xiaokang; Yang, Laurence T.; Kuang, Liwei; Liu, Xingang; Zhang, Qingxia; Deen, M. Jamal",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,99,A hybrid big-data-based and tolerance-based method to estimate environmental benefits of electric bike sharing,"Liu, Yixiao","Elsevier Science B.V., Amsterdam.",2022
